prompts,input_tokens,output_tokens,total_time,load_time,prompt_eval_time,output_eval_time,prompt_complexity,prompt_length,output_length,device
1,35,130,15788.4683,146.9431,1448.2082,14061.6758,easy,short,long,Ultra9-185H
1,33,46,6452.1188,148.4106,1366.914,4888.2187,easy,short,short,Ultra9-185H
1,36,542,62483.3614,149.0648,1544.1537,60238.5884,easy,short,long,Ultra9-185H
1,33,4,1874.2754,137.6315,1405.3448,326.6097,easy,short,short,Ultra9-185H
1,36,378,44657.6912,142.2212,2344.3413,41790.6832,easy,short,long,Ultra9-185H
1,33,3,1742.9582,145.1971,1376.1377,217.5929,easy,short,short,Ultra9-185H
1,36,152,18494.1269,138.9885,1587.2401,16602.826,easy,short,long,Ultra9-185H
1,32,47,6648.3521,141.9719,1417.1217,5038.0949,easy,short,short,Ultra9-185H
1,35,546,63161.0955,129.503,1511.7458,60968.9203,easy,short,long,Ultra9-185H
1,35,33,5193.0636,170.212,1466.4827,3524.5963,easy,short,short,Ultra9-185H
1,38,210,25059.1004,136.5931,1674.5607,23036.2601,easy,short,long,Ultra9-185H
1,36,31,5831.6182,148.8615,2359.6584,3287.7665,easy,short,short,Ultra9-185H
1,39,180,21802.8508,143.2061,1719.107,19759.8305,easy,short,long,Ultra9-185H
1,32,44,6384.2706,152.9334,1422.1636,4762.8023,easy,short,short,Ultra9-185H
1,35,412,47858.7051,133.2907,1506.8859,45794.7445,easy,short,long,Ultra9-185H
1,35,53,7454.8159,152.6881,1543.6235,5702.946,easy,short,short,Ultra9-185H
1,38,175,21313.4213,149.5784,1690.7006,19287.1766,easy,short,long,Ultra9-185H
1,35,12,2997.1297,160.0693,1589.7543,1234.9171,easy,short,short,Ultra9-185H
1,38,221,27253.1661,146.6415,1805.3239,25068.8725,easy,short,long,Ultra9-185H
1,33,53,8444.3614,151.3903,2358.2158,5876.2607,easy,short,short,Ultra9-185H
1,36,415,50852.4848,695.8228,2389.0617,47381.8338,easy,short,long,Ultra9-185H
1,32,28,5116.3856,127.4117,1928.2782,3030.0913,easy,short,short,Ultra9-185H
1,35,276,33962.4302,142.0245,2249.6148,31321.5759,easy,short,long,Ultra9-185H
1,32,5,2487.3012,153.8221,1882.8296,444.5794,easy,short,short,Ultra9-185H
1,35,13,3560.4768,151.9008,2043.7143,1353.7527,easy,short,long,Ultra9-185H
1,34,33,5800.0161,131.7096,2023.4078,3616.5427,easy,short,short,Ultra9-185H
1,37,285,35175.2365,154.5753,2233.5378,32534.1855,easy,short,long,Ultra9-185H
1,33,20,4281.2863,133.6878,1983.6958,2144.0765,easy,short,short,Ultra9-185H
1,36,251,31560.1502,148.7701,2487.6892,28690.6187,easy,short,long,Ultra9-185H
1,35,9,3274.9021,133.2907,2230.2196,900.7496,easy,short,short,Ultra9-185H
1,38,99,13700.2463,138.7735,2298.1347,11176.9395,easy,short,long,Ultra9-185H
1,31,47,7264.1768,137.2849,1846.7416,5231.4687,easy,short,short,Ultra9-185H
1,34,417,51075.013,153.3143,2076.239,48454.039,easy,short,long,Ultra9-185H
1,33,29,5392.5997,140.1281,2036.824,3186.22,easy,short,short,Ultra9-185H
1,36,303,37671.1998,140.2655,2195.8925,35068.1828,easy,short,long,Ultra9-185H
1,32,34,5833.4633,131.3361,1898.583,3769.3138,easy,short,short,Ultra9-185H
1,35,400,49332.3934,140.5185,2178.0675,46635.1554,easy,short,long,Ultra9-185H
1,31,41,6613.0172,136.6685,1850.8546,4585.5041,easy,short,short,Ultra9-185H
1,34,464,57160.3725,142.3417,2094.5082,54500.4023,easy,short,long,Ultra9-185H
1,32,50,7811.7035,145.6594,1961.114,5649.4425,easy,short,short,Ultra9-185H
1,35,460,56724.996,130.8611,2141.0021,54028.316,easy,short,long,Ultra9-185H
1,34,42,6996.7359,158.097,2077.5961,4722.0531,easy,short,short,Ultra9-185H
1,37,195,25126.1987,133.6019,2305.0216,22499.7643,easy,short,long,Ultra9-185H
1,37,11,4127.3698,134.7832,2897.3862,1082.668,easy,short,short,Ultra9-185H
1,40,63,8834.735,177.8652,1761.2445,6829.0169,easy,short,long,Ultra9-185H
1,32,55,7611.9052,152.542,1437.1301,5961.2147,easy,short,short,Ultra9-185H
1,35,521,60519.4335,143.8354,1482.701,58364.9265,easy,short,long,Ultra9-185H
1,35,38,5779.4044,136.266,1541.544,4058.5301,easy,short,short,Ultra9-185H
1,38,287,33987.8085,146.1403,1715.8652,31828.6966,easy,short,long,Ultra9-185H
1,33,17,3343.9806,142.0096,1409.797,1771.5418,easy,short,short,Ultra9-185H
1,36,219,26140.3293,135.819,1609.6304,24163.7902,easy,short,long,Ultra9-185H
1,32,52,7228.4914,147.9371,1411.1861,5612.7053,easy,short,short,Ultra9-185H
1,35,496,57672.0237,139.9709,1492.4396,55547.3717,easy,short,long,Ultra9-185H
1,32,57,7791.8695,141.3044,1420.3477,6168.0588,easy,short,short,Ultra9-185H
1,35,533,61860.6193,130.4882,1461.3457,59728.4706,easy,short,long,Ultra9-185H
1,32,57,7788.8016,138.3516,1414.0983,6175.7743,easy,short,short,Ultra9-185H
1,35,548,63737.4229,155.1817,1501.9531,61535.546,easy,short,long,Ultra9-185H
1,31,38,5590.1225,150.7808,1300.1266,4096.7531,easy,short,short,Ultra9-185H
1,34,431,50129.01,132.1306,1499.4983,48052.2018,easy,short,long,Ultra9-185H
8,103,167,25349.554,150.1743,6671.9017,18361.1478,easy,short,short,Ultra9-185H
8,106,509,62557.3643,138.3018,4894.6708,57021.3828,easy,short,long,Ultra9-185H
8,108,119,18263.2682,138.8345,4931.7303,13074.5906,easy,short,short,Ultra9-185H
8,111,271,35744.5533,144.6368,5128.6206,30203.1531,easy,short,long,Ultra9-185H
8,100,127,18933.0262,134.7332,4675.5372,13993.3578,easy,short,short,Ultra9-185H
8,103,610,74362.21,163.6865,4730.1073,68855.2065,easy,short,long,Ultra9-185H
8,103,197,26796.392,148.2719,4690.7407,21756.6062,easy,short,short,Ultra9-185H
8,106,516,63432.3875,133.9149,4874.8405,57899.7928,easy,short,long,Ultra9-185H
8,105,77,13373.3611,152.4706,4758.4277,8384.0147,easy,short,short,Ultra9-185H
8,108,531,65244.6938,138.5841,5008.975,59566.0206,easy,short,long,Ultra9-185H
8,101,177,27195.3284,142.7433,7272.4383,19605.029,easy,short,short,Ultra9-185H
8,104,1236,148770.682,149.8646,4777.7826,142589.2297,easy,short,long,Ultra9-185H
8,99,81,13650.3854,149.4455,4546.6408,8872.7971,easy,short,short,Ultra9-185H
8,102,485,59775.4917,154.541,4704.5825,54421.8767,easy,short,long,Ultra9-185H
8,103,201,27238.3883,146.1294,4666.7674,22224.4883,easy,short,short,Ultra9-185H
8,106,1037,124763.3304,138.5108,4889.0744,118695.9759,easy,short,long,Ultra9-185H
8,101,165,23149.7557,145.2738,4710.8163,18128.3823,easy,short,short,Ultra9-185H
8,104,448,55565.7042,134.9559,4814.3816,50169.1707,easy,short,long,Ultra9-185H
8,100,178,24497.3927,137.1619,4595.4099,19569.9963,easy,short,short,Ultra9-185H
8,103,233,30867.1705,145.4691,4664.8269,25816.5272,easy,short,long,Ultra9-185H
8,103,178,24726.0041,158.9151,4740.2368,19648.5549,easy,short,short,Ultra9-185H
8,106,901,108515.5185,148.1515,4855.6774,102634.1477,easy,short,long,Ultra9-185H
8,96,123,18164.4391,135.701,4430.1971,13464.9131,easy,short,short,Ultra9-185H
8,99,1108,133455.1594,138.149,4547.7314,127665.5803,easy,short,long,Ultra9-185H
8,101,133,19636.5159,139.8072,4736.0152,14615.5806,easy,short,short,Ultra9-185H
8,104,259,37694.3544,143.3971,8581.0022,28710.4624,easy,short,long,Ultra9-185H
8,104,122,18514.5389,145.486,4829.805,13414.4615,easy,short,short,Ultra9-185H
8,107,273,35741.3826,135.3257,4931.3663,30396.3675,easy,short,long,Ultra9-185H
8,97,200,29407.3771,139.1433,6946.0551,22117.6101,easy,short,short,Ultra9-185H
8,100,1209,145798.9604,139.6082,4578.1254,139874.2117,easy,short,long,Ultra9-185H
8,106,49,10421.1928,131.5883,4919.2397,5321.2553,easy,short,short,Ultra9-185H
8,109,153,22161.4369,136.8324,5033.8008,16839.5145,easy,short,long,Ultra9-185H
32,345,416,64583.8747,151.3442,16568.225,47441.2845,easy,short,short,Ultra9-185H
32,348,1263,165681.7374,130.8544,16334.2155,147941.3516,easy,short,long,Ultra9-185H
32,339,286,48554.1722,148.6324,15837.7691,32275.4474,easy,short,short,Ultra9-185H
32,342,750,103478.7494,138.4447,16206.7369,86397.6377,easy,short,long,Ultra9-185H
32,331,479,70824.6485,127.8262,15676.9691,54522.4652,easy,short,short,Ultra9-185H
32,334,1384,192444.9008,147.9718,28525.1742,162390.3849,easy,short,long,Ultra9-185H
32,339,340,67324.9842,147.1404,28478.183,38357.1681,easy,short,short,Ultra9-185H
32,342,800,109029.7788,142.3779,16011.3728,92079.5481,easy,short,long,Ultra9-185H
128,1285,270,110193.7721,161.7916,12699.3379,32304.7417,easy,short,short,Ultra9-185H
128,1288,340,103157.1739,142.6148,12686.2194,40714.1042,easy,short,long,Ultra9-185H
1,103,69,14803.0207,142.3375,7156.4913,7436.0576,hard,long,short,Ultra9-185H
1,106,707,84748.2987,133.5602,4799.4742,79111.284,hard,long,long,Ultra9-185H
1,84,96,16423.5227,143.1153,5830.8366,10349.2614,hard,long,short,Ultra9-185H
1,87,598,71227.54,133.3064,3813.4938,66683.7964,hard,long,long,Ultra9-185H
1,93,103,15610.9815,136.5399,4163.1559,11206.7028,hard,long,short,Ultra9-185H
1,96,658,81687.0897,149.1753,6905.4989,73979.0394,hard,long,long,Ultra9-185H
1,86,60,10559.7415,137.1243,3889.5513,6473.1427,hard,long,short,Ultra9-185H
1,89,592,73871.6065,149.1151,6986.1482,66137.1566,hard,long,long,Ultra9-185H
1,83,60,10396.2771,128.791,3699.8433,6507.3543,hard,long,short,Ultra9-185H
1,86,647,77331.8969,141.5564,3907.4378,72639.8616,hard,long,long,Ultra9-185H
1,83,48,9085.6019,156.0117,3742.2166,5137.6546,hard,long,short,Ultra9-185H
1,86,561,67374.5121,139.1014,3843.389,62825.2961,hard,long,long,Ultra9-185H
1,79,59,10170.7544,145.8156,3570.3464,6394.4441,hard,long,short,Ultra9-185H
1,82,586,72250.5626,135.346,5851.6407,65686.0221,hard,long,long,Ultra9-185H
1,86,61,10694.3167,141.5919,3889.7957,6600.6134,hard,long,short,Ultra9-185H
1,89,629,77354.3115,153.0512,6088.131,70477.0102,hard,long,long,Ultra9-185H
1,88,60,10690.0352,138.3874,4019.0157,6470.9924,hard,long,short,Ultra9-185H
1,91,439,55767.1257,142.4047,6362.1349,48821.5445,hard,long,long,Ultra9-185H
1,79,67,10949.4735,132.3218,3465.5213,7284.1106,hard,long,short,Ultra9-185H
1,82,492,59044.7753,143.8127,3617.3773,54789.1881,hard,long,long,Ultra9-185H
1,84,65,10972.5998,139.3363,3786.7395,6980.2752,hard,long,short,Ultra9-185H
1,87,520,62508.5601,131.1824,3860.9272,57987.0753,hard,long,long,Ultra9-185H
1,83,91,13823.3398,150.766,3692.9243,9884.93,hard,long,short,Ultra9-185H
1,86,546,65623.1148,137.9425,3934.3865,61002.4682,hard,long,long,Ultra9-185H
1,87,62,10766.1256,148.4105,3853.9043,6700.5398,hard,long,short,Ultra9-185H
1,90,543,65385.8579,193.2989,4045.421,60612.8328,hard,long,long,Ultra9-185H
1,80,82,14797.1336,141.4829,5671.5985,8903.8662,hard,long,short,Ultra9-185H
1,83,816,97103.6458,142.487,3759.1202,92373.0652,hard,long,long,Ultra9-185H
1,78,73,11666.2474,147.0679,3537.9448,7907.8894,hard,long,short,Ultra9-185H
1,81,638,76022.1912,155.9877,3553.2929,71676.7953,hard,long,long,Ultra9-185H
1,75,58,9812.3192,141.202,3382.584,6234.9521,hard,long,short,Ultra9-185H
1,78,859,101599.4919,146.9502,3536.9171,97080.7384,hard,long,long,Ultra9-185H
1,82,58,10184.7623,147.1253,3728.0009,6249.5727,hard,long,short,Ultra9-185H
1,85,450,54459.9764,142.9036,3777.4109,50075.2642,hard,long,long,Ultra9-185H
1,77,66,12198.1076,138.2012,4861.7932,7132.2217,hard,long,short,Ultra9-185H
1,80,519,62275.3016,134.5886,3631.0602,58002.4402,hard,long,long,Ultra9-185H
1,84,94,14345.7043,137.0436,3891.7775,10221.0159,hard,long,short,Ultra9-185H
1,87,511,63779.7745,138.5984,6169.1128,56957.3447,hard,long,long,Ultra9-185H
1,82,86,13215.9008,130.3523,3680.3077,9318.4027,hard,long,short,Ultra9-185H
1,85,579,69334.5779,143.0386,3786.5821,64827.4351,hard,long,long,Ultra9-185H
1,91,72,14398.3611,154.3808,6387.3039,7787.193,hard,long,short,Ultra9-185H
1,94,673,80846.3192,134.9378,4254.7089,75785.8577,hard,long,long,Ultra9-185H
1,79,47,8886.3103,141.872,3613.4134,5085.2076,hard,long,short,Ultra9-185H
1,82,634,75841.4866,143.301,3750.2974,71316.5391,hard,long,long,Ultra9-185H
1,77,60,10196.1301,148.2438,3475.4648,6512.6434,hard,long,short,Ultra9-185H
1,80,704,83954.1097,163.9915,3637.6979,79443.2419,hard,long,long,Ultra9-185H
1,75,48,10145.321,144.6905,4779.7445,5170.7304,hard,long,short,Ultra9-185H
1,78,598,71364.4874,132.701,3567.2564,67064.2013,hard,long,long,Ultra9-185H
1,72,51,8919.1646,150.731,3231.8574,5485.0845,hard,long,short,Ultra9-185H
1,75,563,68613.9149,147.6596,4748.4775,63136.8015,hard,long,long,Ultra9-185H
1,81,73,11844.3223,166.7166,3692.4419,7914.0472,hard,long,short,Ultra9-185H
1,84,373,45925.6919,142.6977,3858.2711,41551.5461,hard,long,long,Ultra9-185H
1,80,102,15077.6474,153.9514,3707.0896,11117.164,hard,long,short,Ultra9-185H
1,83,797,96231.4045,141.8596,3733.4274,91549.1241,hard,long,long,Ultra9-185H
1,78,67,12475.5334,134.5943,4972.4535,7303.7038,hard,long,short,Ultra9-185H
1,81,471,57018.2872,135.7965,3626.9972,52789.6484,hard,long,long,Ultra9-185H
1,75,47,8625.3098,167.1616,3340.3949,5069.5045,hard,long,short,Ultra9-185H
1,78,499,60223.9698,195.1556,3577.6901,55935.9054,hard,long,long,Ultra9-185H
1,76,72,11531.3284,145.3704,3457.4614,7851.1665,hard,long,short,Ultra9-185H
1,79,504,62872.8616,141.4281,5614.4114,56609.4233,hard,long,long,Ultra9-185H
1,74,104,17558.4675,133.9198,5963.5346,11350.7456,hard,long,short,Ultra9-185H
1,77,717,85525.586,138.3375,3544.761,81111.5551,hard,long,long,Ultra9-185H
1,75,50,8999.1384,137.1287,3408.246,5398.4542,hard,long,short,Ultra9-185H
1,78,530,63855.5998,160.1475,3605.5646,59540.8884,hard,long,long,Ultra9-185H
8,536,368,69421.9587,132.4706,1087.3734,42951.6972,hard,long,short,Ultra9-185H
8,539,1226,172931.8442,140.5292,1178.0047,145670.9722,hard,long,long,Ultra9-185H
8,493,272,54763.6716,139.7688,23227.8416,31111.2602,hard,long,short,Ultra9-185H
8,496,786,116255.7522,158.3967,23545.4077,91745.2614,hard,long,long,Ultra9-185H
8,486,384,67700.8476,138.3456,22971.2679,44181.4337,hard,long,short,Ultra9-185H
8,489,1123,156701.0326,131.7623,23026.9357,132396.8807,hard,long,long,Ultra9-185H
8,450,307,56534.9801,151.8322,20977.0211,35085.5285,hard,long,short,Ultra9-185H
8,453,1134,156436.8248,151.637,21199.4689,133925.1398,hard,long,long,Ultra9-185H
8,536,371,79322.394,139.9984,1030.0415,42688.2407,hard,long,short,Ultra9-185H
8,539,1390,193130.4643,138.8672,1108.9811,166026.3467,hard,long,long,Ultra9-185H
8,493,290,57411.894,141.1623,23602.0142,33359.0735,hard,long,short,Ultra9-185H
8,496,1483,203259.2713,135.7901,23616.8065,177963.5985,hard,long,long,Ultra9-185H
8,486,354,64853.9603,141.5729,23439.9805,40908.5352,hard,long,short,Ultra9-185H
8,489,1027,146309.632,147.1858,23427.1787,121671.789,hard,long,long,Ultra9-185H
8,450,257,51330.412,153.1004,21471.202,29444.7015,hard,long,short,Ultra9-185H
8,453,1509,204539.8515,140.3593,21672.3528,181176.388,hard,long,long,Ultra9-185H
8,536,355,67729.8886,158.8838,1056.193,41261.8042,hard,long,short,Ultra9-185H
8,539,1351,190336.3671,139.2932,1132.5474,162545.1311,hard,long,long,Ultra9-185H
8,493,361,76583.4935,134.4354,34136.1346,41924.0548,hard,long,short,Ultra9-185H
8,496,1206,168722.6744,124.4896,23920.7232,143417.5121,hard,long,long,Ultra9-185H
8,486,348,64063.218,143.5587,23456.7132,40106.3076,hard,long,short,Ultra9-185H
8,489,1398,206745.0805,154.0889,38035.2123,167132.4326,hard,long,long,Ultra9-185H
8,450,392,72687.4334,165.5407,24466.8695,47678.0812,hard,long,short,Ultra9-185H
8,453,1485,215632.8402,143.8984,24674.246,189432.6118,hard,long,long,Ultra9-185H
8,536,442,84274.4586,142.2555,1410.5794,54284.7708,hard,long,short,Ultra9-185H
8,539,1611,239059.5126,132.925,1782.5361,207461.6073,hard,long,long,Ultra9-185H
8,493,322,77467.5961,151.4476,37913.3998,39089.8885,hard,long,short,Ultra9-185H
8,496,1168,174745.943,146.3746,26401.4945,147080.8207,hard,long,long,Ultra9-185H
8,486,414,87640.0815,142.1211,36754.3383,50357.9374,hard,long,short,Ultra9-185H
8,489,1118,178354.3321,133.6778,36912.4496,140242.6684,hard,long,long,Ultra9-185H
8,450,319,63008.2433,145.1581,24077.1124,38480.3151,hard,long,short,Ultra9-185H
8,453,1273,185738.2087,156.0221,24166.2528,160233.3508,hard,long,long,Ultra9-185H
